idDrink,strDrink,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,Drink_ABV
15997,GG,Galliano,Ginger ale,Ice,,,,,,,,,,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
17222,A1,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,2.625,1.5,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
13501,ABC,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17203,Kir,Creme de Cassis,Champagne,,,,,,,,,,,1.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
14229,747,Kahlua,Baileys irish cream,Frangelico,,,,,,,,,,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
15288,252,151 proof rum,Wild Turkey,,,,,,,,,,,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
17225,Ace,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9
17837,Adam,Dark rum,Lemon juice,Grenadine,,,,,,,,,,2.0,1.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
13332,B-53,Kahlua,Sambuca,Grand Marnier,,,,,,,,,,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35
13938,AT&T,Absolut Vodka,Gin,Tonic water,,,,,,,,,,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
14610,ACID,151 proof rum,Wild Turkey,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23
15853,B-52,Baileys irish cream,Grand Marnier,Kahlua,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
16262,H.D.,Whisky,Baileys irish cream,Coffee,,,,,,,,,,1.352,2.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22
17141,Smut,Red wine,Peach schnapps,Pepsi Cola,Orange juice,,,,,,,,,4.5,1.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
17208,Rose,Dry Vermouth,Gin,Apricot brandy,Lemon juice,Grenadine,Powdered sugar,,,,,,,2.0,1.0,2.0,0.334,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
17833,A. J.,Applejack,Grapefruit juice,,,,,,,,,,,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17187,Derby,gin,Peach Bitters,Mint,,,,,,,,,,2.028,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29
12764,Karsk,Coffee,Grain alcohol,,,,,,,,,,,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
12776,Melya,Espresso,Honey,Cocoa powder,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
14598,50/50,Vanilla vodka,Grand Marnier,Orange juice,,,,,,,,,,2.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41
15328,Zorro,Sambuca,Baileys irish cream,White Creme de Menthe,,,,,,,,,,0.676,0.676,0.676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33
17254,Bijou,Orange Bitters,Green Chartreuse,Gin,Sweet Vermouth,,,,,,,,,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51
17839,Affair,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11149,Boxcar,Gin,Triple sec,Lemon juice,Grenadine,Egg white,,,,,,,,1.5,1.0,0.167,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28
11872,Orgasm,Creme de Cacao,Amaretto,Triple sec,Vodka,Light cream,,,,,,,,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27
12450,Victor,Gin,Sweet Vermouth,Brandy,,,,,,,,,,1.5,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
13128,Diesel,Lager,Cider,Blackcurrant cordial,,,,,,,,,,32.0,32.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11000,Mojito,Light rum,Lime,Sugar,Mint,Soda water,,,,,,,,3.0,1.0,0.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
